case_id,field,date,model_flag,model_confidence,rendered_advisory_path,primary_driver_index,secondary_driver_index,expert_confidence (1-5),agronomic_notes
case_028,Wheat_Field_B,2026-07-28,Early_Stress_Detected,0.799,reports/advisories/case_028_advisory.png,,,,
case_079,Potato_Field_A,2026-07-23,Early_Stress_Detected,0.893,reports/advisories/case_079_advisory.png,,,,
case_061,Potato_Field_A,2026-07-05,Early_Stress_Detected,0.747,reports/advisories/case_061_advisory.png,,,,
case_091,Potato_Field_A,2026-07-07,Early_Stress_Detected,0.914,reports/advisories/case_091_advisory.png,,,,
case_035,Potato_Field_A,2026-07-07,Early_Stress_Detected,0.842,reports/advisories/case_035_advisory.png,,,,
case_097,Potato_Field_A,2026-07-13,Early_Stress_Detected,0.862,reports/advisories/case_097_advisory.png,,,,
case_053,Potato_Field_A,2026-07-25,Early_Stress_Detected,0.903,reports/advisories/case_053_advisory.png,,,,
case_052,Wheat_Field_B,2026-07-24,Early_Stress_Detected,0.957,reports/advisories/case_052_advisory.png,,,,
case_065,Potato_Field_A,2026-07-09,Early_Stress_Detected,0.872,reports/advisories/case_065_advisory.png,,,,
case_040,Wheat_Field_B,2026-07-12,Early_Stress_Detected,0.934,reports/advisories/case_040_advisory.png,,,,
case_025,Potato_Field_A,2026-07-25,Early_Stress_Detected,0.916,reports/advisories/case_025_advisory.png,,,,
case_010,Wheat_Field_B,2026-07-10,Early_Stress_Detected,0.862,reports/advisories/case_010_advisory.png,,,,
case_076,Wheat_Field_B,2026-07-20,Early_Stress_Detected,0.954,reports/advisories/case_076_advisory.png,,,,
case_017,Potato_Field_A,2026-07-17,Early_Stress_Detected,0.764,reports/advisories/case_017_advisory.png,,,,
case_007,Potato_Field_A,2026-07-07,Early_Stress_Detected,0.79,reports/advisories/case_007_advisory.png,,,,
case_013,Potato_Field_A,2026-07-13,Early_Stress_Detected,0.743,reports/advisories/case_013_advisory.png,,,,
case_083,Potato_Field_A,2026-07-27,Early_Stress_Detected,0.952,reports/advisories/case_083_advisory.png,,,,
case_094,Wheat_Field_B,2026-07-10,Early_Stress_Detected,0.934,reports/advisories/case_094_advisory.png,,,,
case_095,Potato_Field_A,2026-07-11,Early_Stress_Detected,0.743,reports/advisories/case_095_advisory.png,,,,
case_031,Potato_Field_A,2026-07-03,Early_Stress_Detected,0.891,reports/advisories/case_031_advisory.png,,,,
case_019,Potato_Field_A,2026-07-19,Early_Stress_Detected,0.941,reports/advisories/case_019_advisory.png,,,,
case_034,Wheat_Field_B,2026-07-06,Early_Stress_Detected,0.728,reports/advisories/case_034_advisory.png,,,,
case_049,Potato_Field_A,2026-07-21,Early_Stress_Detected,0.729,reports/advisories/case_049_advisory.png,,,,
